opportunityID,name,description,location,category,communitySupportPercentage,opportunityStatus,requiredInvestmentBudget,expectedROI,startDate,endDate,buisnessModel,riskLevel
1,قطرات الجنوب,"مقهى يمتلكه شاب سعودي في منطقة أبها، يتميز بتقديم مشروبات القهوة المختصة والكوكتيلات الموسمية. المقهى يحظى بدعم مجتمعي جيد خاصة بين فئة الشباب والموظفين.",أبها,مقاهي ومشروبات,85%,نشط,"50,000 - 100,000 ريال",15% - 25%,7/2/2025,8/31/2025,Direct Sales,منخفض
2,عسل الجبال,"متجر متخصص في بيع منتجات العسل الطبيعي من مزارع محلية في منطقة النماص، يديره عدد من المزارعين المحليين ويُعد مصدر دخل أساسي لهم. يُعرف بجودة منتجاته ودعمه من المجتمع المحلي.",النماص,منتجات عسلية,100%,منتهي,"15,000 - 50,000 ريال",25% - 40%,3/2/2025,5/1/2025,B2C,متوسط
3,ذوق الجنوب,"مطعم شعبي يقدم أكلات عسيرية تقليدية في منطقة خميس مشيط، يُدار بعناية من قبل أسرة سعودية ويخدم السكان المحليين والسياح. يتميز بجلسات عائلية وتصميم داخلي تراثي.",خميس مشيط,مطاعم وأغذية,88%,منتهي,"100,000 - 300,000 ريال",15% - 25%,3/26/2025,5/25/2025,B2C,مرتفع
4,ثمار طريب,"مشروع زراعي لإنتاج الفواكه والخضروات العضوية في منطقة طريب، يعتمد على تقنيات ري حديثة وتُسوّق منتجاته للأسواق المحلية ومراكز البيع المباشر.",طريب,زراعة ومنتجات طبيعية,77%,منتهي,"50,000 - 100,000 ريال",25% - 40%,4/9/2025,6/8/2025,Marketplace,منخفض
5,لمسة تراث,"متجر إلكتروني لبيع منتجات يدوية وتراثية تصنعها نساء من منطقة رجال ألمع، يهدف إلى تمكين الحرفيات وتسويق منتجاتهن بشكل احترافي محلياً ودولياً.",رجال ألمع,حرف يدوية وتراثية,92%,منتهي,"15,000 - 50,000 ريال",40% - 60%,3/19/2025,5/18/2025,C2C,منخفض
6,رحلات الجنوب,"مشروع ناشئ في تثليث لتنظيم رحلات سياحية داخلية تشمل التخييم، التنقل في القرى الجبلية، وزيارة المواقع التراثية. يشهد إقبالاً متزايداً من العائلات والمهتمين بالطبيعة.",تثليث,سياحة وضيافة,81%,منتهي,"5,000 - 15,000 ريال",10% - 15%,4/9/2025,6/8/2025,Subscription,مرتفع
7,نقاء الجنوب,"مصنع محلي لإنتاج العصائر الطبيعية في منطقة محايل عسير، يستخدم فواكه محلية طازجة ويُوزع منتجاته على المتاجر الصغيرة والمقاهي.",محايل عسير,صناعات غذائية محلية,83%,نشط,"100,000 - 300,000 ريال",25% - 40%,6/7/2025,8/6/2025,B2B,مرتفع
8,أجرة النماص,خدمة نقل محلية في النماص تهدف لتوفير سيارات أجرة تعمل بالتطبيقات الذكية لتغطية القرى والمراكز البعيدة.,النماص,خدمات نقل وتوصيل,76%,منتهي,"15,000 - 50,000 ريال",10% - 15%,4/10/2025,6/9/2025,Commission,متوسط
9,جنى الطبيعة,"متجر في ظهران الجنوب لبيع أعشاب ومنتجات طبيعية طبية ومحلية المنشأ، يقدم استشارات بسيطة بالتعاون مع مختصين في الطب البديل.",ظهران الجنوب,زراعة ومنتجات طبيعية,89%,منتهي,"15,000 - 50,000 ريال",25% - 40%,4/2/2025,6/1/2025,B2C,مرتفع
10,بوكس القهوة,عربة متنقلة في أحد رفيدة تقدم مشروبات قهوة مختصة ومخبوزات محلية. تعمل في الفعاليات والمهرجانات بشكل أساسي.,أحد رفيدة,مقاهي ومشروبات,91%,منتهي,"أقل من 5,000 ريال",أكثر من 60%,3/25/2025,5/24/2025,Direct Sales,مرتفع
